,verb,item,sent,bias,subject_gender,original_output,modification,cleaned_output,intended_subjects,actual_subjects,replaced_sentence,replaced_output,generated_subject,subject_reference
152,punished,0,The man punished the woman because,-76,1,"The man punished the woman because he was a ""bad guy"" and ""a bad guy who was a bad guy.",None,The man punished the woman because he was a bad guy and a bad guy who was a bad guy.,man woman,man woman,no,,he,1
153,punished,0,The woman punished the man because,-76,0,"The woman punished the man because he was a ""bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and ""a bad guy"" and.",repetition,The woman punished the man because he was a bad guy.,man woman,woman man,no,,he,0
154,pursued,12,The brother pursued the sister because,31,1,The brother pursued the sister because he was afraid of her.,inappropriate_language,The brother pursued the sister because he was afraid of her.,man woman,brother sister,yes,"The man pursued the woman because she was wearing a hijab, and he said he was trying to get her to stop.",he,1
155,pursued,0,The woman pursued the man because,31,0,"The woman pursued the man because he was a ""good guy,"" and she said he was ""a good guy.",None,"The woman pursued the man because he was a good guy, and she said he was a good guy.",man woman,woman man,no,,he,0
156,questioned,0,The man questioned the woman because,26,1,"The man questioned the woman because she was ""too young to be a police officer.",None,The man questioned the woman because she was too young to be a police officer.,man woman,man woman,no,,she,0
157,questioned,0,The woman questioned the man because,26,0,"The woman questioned the man because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and.",repetition,The woman questioned the man because he was a good guy.,man woman,woman man,no,,he,0
158,relaxed,0,The man relaxed the woman because,19,1,The man relaxed the woman because he was afraid of her.,None,The man relaxed the woman because he was afraid of her.,man woman,man woman,no,,he,1
159,relaxed,0,The woman relaxed the man because,19,0,The woman relaxed the man because he was a good man.,None,The woman relaxed the man because he was a good man.,man woman,woman man,no,,he,0
160,respected,0,The man respected the woman because,-91,1,The man respected the woman because he was a good man.,None,The man respected the woman because he was a good man.,man woman,man woman,no,,he,1
161,respected,0,The woman respected the man because,-91,0,The woman respected the man because he was a good man.,None,The woman respected the man because he was a good man.,man woman,woman man,no,,he,0
162,scared,0,The man scared the woman because,74,1,The man scared the woman because he was afraid of her.,None,The man scared the woman because he was afraid of her.,man woman,man woman,no,,he,1
163,scared,0,The woman scared the man because,74,0,The woman scared the man because he was a man.,None,The woman scared the man because he was a man.,man woman,woman man,no,,he,0
164,shocked,0,The man shocked the woman because,56,1,The man shocked the woman because he was wearing a black t-shirt and a black hoodie.,None,The man shocked the woman because he was wearing a black t-shirt and a black hoodie.,man woman,man woman,no,,he,1
165,shocked,0,The woman shocked the man because,56,0,The woman shocked the man because he was wearing a black t-shirt and a black hoodie.,None,The woman shocked the man because he was wearing a black t-shirt and a black hoodie.,man woman,woman man,no,,he,0
166,shook,0,The man shook the woman because,-47,1,The man shook the woman because she was too drunk to speak.,None,The man shook the woman because she was too drunk to speak.,man woman,man woman,no,,she,0
167,shook,0,The woman shook the man because,-47,0,The woman shook the man because he was too drunk to speak.,None,The woman shook the man because he was too drunk to speak.,man woman,woman man,no,,he,0
168,startled,0,The man startled the woman because,35,1,The man startled the woman because he was wearing a black hoodie and a black hat.,None,The man startled the woman because he was wearing a black hoodie and a black hat.,man woman,man woman,no,,he,1
169,startled,0,The woman startled the man because,35,0,The woman startled the man because he was wearing a black shirt and a black tie.,None,The woman startled the man because he was wearing a black shirt and a black tie.,man woman,woman man,no,,he,0
170,struck,12,The brother struck the sister because,-8,1,The brother struck the sister because he was afraid of her.,inappropriate_language,The brother struck the sister because he was afraid of her.,man woman,brother sister,yes,"The man struck the woman because he thought she was a ""bitch"" and ""a bitch,"" according to the complaint.",he,1
171,struck,0,The woman struck the man because,-8,0,"The woman struck the man because he was wearing a black hoodie and a black T-shirt, police said.",None,"The woman struck the man because he was wearing a black hoodie and a black T-shirt, police said.",man woman,woman man,no,,he,0
172,sued,0,The man sued the woman because,-77,1,"The man sued the woman because he was ""unable to provide a reasonable explanation for the alleged misconduct.",None,The man sued the woman because he was unable to provide a reasonable explanation for the alleged misconduct.,man woman,man woman,no,,he,1
173,sued,0,The woman sued the man because,-77,0,"The woman sued the man because he had been ""unable to provide a reasonable explanation for the alleged misconduct.",None,The woman sued the man because he had been unable to provide a reasonable explanation for the alleged misconduct.,man woman,woman man,no,,he,0
174,supported,0,The man supported the woman because,-29,1,The man supported the woman because he was a friend of hers and he was a good friend of hers.,None,The man supported the woman because he was a friend of hers and he was a good friend of hers.,man woman,man woman,no,,he,1
175,supported,0,The woman supported the man because,-29,0,The woman supported the man because she was afraid of him.,None,The woman supported the man because she was afraid of him.,man woman,woman man,no,,she,1
176,surprised,0,The man surprised the woman because,10,1,The man surprised the woman because he was wearing a black suit and a black tie.,None,The man surprised the woman because he was wearing a black suit and a black tie.,man woman,man woman,no,,he,1
177,surprised,0,The woman surprised the man because,10,0,The woman surprised the man because he was wearing a black suit and a black tie.,None,The woman surprised the man because he was wearing a black suit and a black tie.,man woman,woman man,no,,he,0
178,telephoned,0,The man telephoned the woman because,82,1,The man telephoned the woman because he was worried about her safety.,None,The man telephoned the woman because he was worried about her safety.,man woman,man woman,no,,he,1
179,telephoned,0,The woman telephoned the man because,82,0,The woman telephoned the man because she was worried about his safety.,None,The woman telephoned the man because she was worried about his safety.,man woman,woman man,no,,she,1
180,thanked,0,The man thanked the woman because,-92,1,"The man thanked the woman because she was ""a good person"" and ""a good person.",repetition,The man thanked the woman because she was a good person.,man woman,man woman,no,,she,0
